code,type,2012,2013,2014,2015,2016,same text over time?
00,,ჯამური,ჯამური,ჯამური,ჯამური,ჯამური,true
01 00,spending agency,საქართველოს პარლამენტი და მასთან არსებული ორგანიზაციები,საქართველოს პარლამენტი და მასთან არსებული ორგანიზაციები,საქართველოს პარლამენტი და მასთან არსებული ორგანიზაციები,საქართველოს პარლამენტი და მასთან არსებული ორგანიზაციები,საქართველოს პარლამენტი და მასთან არსებული ორგანიზაციები,true
01 01,program,საკანონმდებლო საქმიანობა,საკანონმდებლო საქმიანობა,საკანონმდებლო საქმიანობა,საკანონმდებლო საქმიანობა,საკანონმდებლო საქმიანობა,true
01 02,program,აუდიტორული საქმიანობის სახელმწიფო რეგულირება,საბიბლიოთეკო საქმიანობა,საბიბლიოთეკო საქმიანობა,საბიბლიოთეკო საქმიანობა,საბიბლიოთეკო საქმიანობა,false
01 03,program,საბიბლიოთეკო საქმიანობა,ჰერალდიკური საქმიანობის სახელმწიფო რეგულირება,ჰერალდიკური საქმიანობის სახელმწიფო რეგულირება,ჰერალდიკური საქმიანობის სახელმწიფო რეგულირება,ჰერალდიკური საქმიანობის სახელმწიფო რეგულირება,false
01 04,program,ჰერალდიკური საქმიანობის სახელმწიფო რეგულირება,,,,,true
02 00,spending agency,საქართველოს პრეზიდენტის ადმინისტრაცია,საქართველოს პრეზიდენტის ადმინისტრაცია,საქართველოს პრეზიდენტის ადმინისტრაცია,საქართველოს პრეზიდენტის ადმინისტრაცია,საქართველოს პრეზიდენტის ადმინისტრაცია,true
02 01,program,საქართველოს პრეზიდენტის ადმინისტრაცია,საქართველოს პრეზიდენტის ადმინისტრაცია,,,,true
02 02,program,საჯარო სამსახურის სფეროში სახელმწიფო პოლიტიკის შემუშავება,,,,,true
03 00,spending agency,საქართველოს ეროვნული უშიშროების საბჭოს აპარატი,საქართველოს ეროვნული უშიშროების საბჭოს აპარატი,საქართველოს ეროვნული უშიშროების საბჭოს აპარატი,საქართველოს ეროვნული უშიშროების საბჭოს აპარატი,საქართველოს ეროვნული უშიშროების საბჭოს აპარატი,true
03 01,program,საქართველოს ეროვნული უშიშროების საბჭოს აპარატი,საქართველოს ეროვნული უშიშროების საბჭოს აპარატი,საქართველოს ეროვნული უშიშროების საბჭოს აპარატი,საქართველოს ეროვნული უშიშროების საბჭოს აპარატი,საქართველოს ეროვნული უშიშროების საბჭოს აპარატი,true
03 02,program,ეროვნული უსაფრთხოების პოლიტიკის ღონისძიებები,,,,,true
04 00,spending agency,საქართველოს მთავრობის კანცელარია,საქართველოს მთავრობის კანცელარია,საქართველოს მთავრობის კანცელარია,საქართველოს მთავრობის ადმინისტრაცია,საქართველოს მთავრობის ადმინისტრაცია,false
05 00,spending agency,საქართველოს კონტროლის პალატა,სახელმწიფო აუდიტის სამსახური,სახელმწიფო აუდიტის სამსახური,სახელმწიფო აუდიტის სამსახური,სახელმწიფო აუდიტის სამსახური,false
05 01,program,,,სახელმწიფო აუდიტის სამსახური,სახელმწიფო აუდიტის სამსახურის აპარატი,სახელმწიფო აუდიტის სამსახურის აპარატი,false
05 02,program,,,,სსიპ - საჯარო აუდიტის ინსტიტუტი,სსიპ - საჯარო აუდიტის ინსტიტუტი,true
06 00,spending agency,საქართველოს ცენტრალური საარჩევნო კომისია,საქართველოს ცენტრალური საარჩევნო კომისია,საქართველოს ცენტრალური საარჩევნო კომისია,საქართველოს ცენტრალური საარჩევნო კომისია,საქართველოს ცენტრალური საარჩევნო კომისია,true
06 01,program,საარჩევნო გარემოს განვითარება,საარჩევნო გარემოს განვითარება,საარჩევნო გარემოს განვითარება,საარჩევნო გარემოს განვითარება,საარჩევნო გარემოს განვითარება,true
06 02,program,არჩევნების ჩატარების ღონისძიებები,არჩევნების ჩატარების ღონისძიებები,არჩევნების ჩატარების ღონისძიებები,არჩევნების ჩატარების ღონისძიებები,არჩევნების ჩატარების ღონისძიებები,true
06 03,program,საარჩევნო სისტემების განვითარება და სისტემისათვის მოხელეთა მომზადება გადამზადება,საარჩევნო ინსტიტუციის განვითარების და სამოქალაქო განათლების ხელშეწყობა,საარჩევნო ინსტიტუციის განვითარების და სამოქალაქო განათლების ხელშეწყობა,საარჩევნო ინსტიტუციის განვითარების და სამოქალაქო განათლების ხელშეწყობა,საარჩევნო ინსტიტუციის განვითარების და სამოქალაქო განათლების ხელშეწყობა,false
06 04,program,პოლიტიკური პარტიებისა და არასამთავრობო სექტორის დაფინანსება,პოლიტიკური პარტიებისა და არასამთავრობო სექტორის დაფინანსება,პოლიტიკური პარტიებისა და არასამთავრობო სექტორის დაფინანსება,პოლიტიკური პარტიებისა და არასამთავრობო სექტორის დაფინანსება,პოლიტიკური პარტიებისა და არასამთავრობო სექტორის დაფინანსება,true
06 06,program,ამომრჩეველთა სიების დაზუსტების უზრუნველყოფის პროგრამა“,,,,,true
07 00,spending agency,საქართველოს საკონსტიტუციო სასამართლო,საქართველოს საკონსტიტუციო სასამართლო,საქართველოს საკონსტიტუციო სასამართლო,საქართველოს საკონსტიტუციო სასამართლო,საქართველოს საკონსტიტუციო სასამართლო,true
08 00,spending agency,საქართველოს უზენაესი სასამართლო,საქართველოს უზენაესი სასამართლო,საქართველოს უზენაესი სასამართლო,საქართველოს უზენაესი სასამართლო,საქართველოს უზენაესი სასამართლო,true
08 01,program,,,საქართველოს უზენაესი სასამართლო,საქართველოს უზენაესი სასამართლო,,true
09 00,spending agency,საერთო სასამართლოები,საერთო სასამართლოები,საერთო სასამართლოები,საერთო სასამართლოები,საერთო სასამართლოები,true
09 01,program,საერთო სასამართლოების სისტემის განვითარება და ხელშეწყობა,საერთო სასამართლოების სისტემის განვითარება და ხელშეწყობა,საერთო სასამართლოების სისტემის განვითარება და ხელშეწყობა,საერთო სასამართლოების სისტემის განვითარება და ხელშეწყობა,საერთო სასამართლოების სისტემის განვითარება და ხელშეწყობა,true
09 02,program,მოსამართლეებისა და სასამართლოს თანამშრომლების მომზადება გადამზადება,მოსამართლეებისა და სასამართლოს თანამშრომლების მომზადება გადამზადება,მოსამართლეებისა და სასამართლოს თანამშრომლების მომზადება-გადამზადება,მოსამართლეებისა და სასამართლოს თანამშრომლების მომზადება-გადამზადება,მოსამართლეებისა და სასამართლოს თანამშრომლების მომზადება-გადამზადება,false
10 00,spending agency,საქართველოს იუსტიციის უმაღლესი საბჭო,საქართველოს იუსტიციის უმაღლესი საბჭო,საქართველოს იუსტიციის უმაღლესი საბჭო,საქართველოს იუსტიციის უმაღლესი საბჭო,საქართველოს იუსტიციის უმაღლესი საბჭო,true
11 00,spending agency,სახელმწიფო რწმუნებულის – გუბერნატორის ადმინისტრაცია აბაშის ზუგდიდის მარტვილის მესტიის სენაკის ჩხოროწყუს წალენჯიხის ხობის მუნიციპალიტეტებსა და თვითმმართველ ქალაქ ფოთში,სახელმწიფო რწმუნებულის - გუბერნატორის ადმინისტრაცია აბაშის ზუგდიდის მარტვილის მესტიის სენაკის ჩხოროწყუს წალენჯიხის ხობის მუნიციპალიტეტებსა და თვითმმართველ ქალაქ ფოთში,"სახელმწიფო რწმუნებულის – გუბერნატორის ადმინისტრაცია აბაშის, ზუგდიდის, მარტვილის, მესტიის, სენაკის, ჩხოროწყუს, წალენჯიხის, ხობის მუნიციპალიტეტებსა და თვითმმართველ ქალაქ ფოთში","სახელმწიფო რწმუნებულის – გუბერნატორის ადმინისტრაცია აბაშის, ზუგდიდის, მარტვილის, მესტიის, სენაკის, ჩხოროწყუს, წალენჯიხის, ხობის მუნიციპალიტეტებსა და თვითმმართველ ქალაქ ფოთში","სახელმწიფო რწმუნებულის - გუბერნატორის ადმინისტრაცია აბაშის, ზუგდიდის, მარტვილის, მესტიის, სენაკის, ჩხოროწყუს, წალენჯიხის, ხობის მუნიციპალიტეტებსა და ქალაქ ფოთსა და ქალაქ ზუგდიდის მუნიციპალიტეტებში",false
12 00,spending agency,სახელმწიფო რწმუნებულის – გუბერნატორის ადმინისტრაცია ლანჩხუთის ოზურგეთისა და ჩოხატაურის მუნიციპალიტეტებში,სახელმწიფო რწმუნებულის - გუბერნატორის ადმინისტრაცია ლანჩხუთის ოზურგეთისა და ჩოხატაურის მუნიციპალიტეტებში,"სახელმწიფო რწმუნებულის – გუბერნატორის ადმინისტრაცია ლანჩხუთის, ოზურგეთისა და ჩოხატაურის მუნიციპალიტეტებში","სახელმწიფო რწმუნებულის – გუბერნატორის ადმინისტრაცია ლანჩხუთის, ოზურგეთისა და ჩოხატაურის მუნიციპალიტეტებში","სახელმწიფო რწმუნებულის – გუბერნატორის ადმინისტრაცია ლანჩხუთის, ოზურგეთის, ჩოხატაურის მუნიციპალიტეტებსა და ქალაქ ოზურგეთის მუნიციპალიტეტში",false
13 00,spending agency,სახელმწიფო რწმუნებულის – გუბერნატორის ადმინისტრაცია ბაღდათის ვანის ზესტაფონის თერჯოლის სამტრედიის საჩხერის ტყიბულის წყალტუბოს ჭიათურის ხარაგაულის ხონის მუნიციპალიტეტებსა და თვითმმართველ ქალაქ ქუთაისში,სახელმწიფო რწმუნებულის - გუბერნატორის ადმინისტრაცია ბაღდათის ვანის ზესტაფონის თერჯოლის სამტრედიის საჩხერის ტყიბულის წყალტუბოს ჭიათურის ხარაგაულის ხონის მუნიციპალიტეტებსა და თვითმმართველ ქალაქ ქუთაისში,"სახელმწიფო რწმუნებულის – გუბერნატორის ადმინისტრაცია ბაღდათის, ვანის, ზესტაფონის, თერჯოლის, სამტრედიის, საჩხერის, ტყიბულის, წყალტუბოს, ჭიათურის, ხარაგაულის, ხონის მუნიციპალიტეტებსა და თვითმმართველ ქალაქ ქუთაისში","სახელმწიფო რწმუნებულის – გუბერნატორის ადმინისტრაცია ბაღდათის, ვანის, ზესტაფონის, თერჯოლის, სამტრედიის, საჩხერის, ტყიბულის, წყალტუბოს, ჭიათურის, ხარაგაულის, ხონის მუნიციპალიტეტებსა და თვითმმართველ ქალაქ ქუთაისში","სახელმწიფო რწმუნებულის – გუბერნატორის  ადმინისტრაცია ბაღდათის, ვანის, ზესტაფონის, თერჯოლის, სამტრედიის, საჩხერის, ტყიბულის, წყალტუბოს, ჭიათურის, ხარაგაულის, ხონის მუნიციპალიტეტებსა და ქალაქ ქუთაისის მუნიციპალიტეტში",false
14 00,spending agency,სახელმწიფო რწმუნებულის – გუბერნატორის ადმინისტრაცია ახმეტის გურჯაანის დედოფლისწყაროს თელავის ლაგოდეხის საგარეჯოს სიღნაღისა და ყვარლის მუნიციპალიტეტებში,სახელმწიფო რწმუნებულის - გუბერნატორის ადმინისტრაცია ახმეტის გურჯაანის დედოფლისწყაროს თელავის ლაგოდეხის საგარეჯოს სიღნაღისა და ყვარლის მუნიციპალიტეტებში,"სახელმწიფო რწმუნებულის – გუბერნატორის ადმინისტრაცია ახმეტის, გურჯაანის, დედოფლისწყაროს, თელავის, ლაგოდეხის, საგარეჯოს, სიღნაღისა და ყვარლის მუნიციპალიტეტებში","სახელმწიფო რწმუნებულის – გუბერნატორის ადმინისტრაცია ახმეტის, გურჯაანის, დედოფლისწყაროს, თელავის, ლაგოდეხის, საგარეჯოს, სიღნაღისა და ყვარლის მუნიციპალიტეტებში","სახელმწიფო რწმუნებულის – გუბერნატორის ადმინისტრაცია ახმეტის, გურჯაანის, დედოფლისწყაროს, თელავის, ლაგოდეხის, საგარეჯოს, სიღნაღის, ყვარლის მუნიციპალიტეტებსა და ქალაქ თელავის მუნიციპალიტეტში",false
15 00,spending agency,სახელმწიფო რწმუნებულის – გუბერნატორის ადმინისტრაცია დუშეთის თიანეთის მცხეთისა და ყაზბეგის მუნიციპალიტეტებში,სახელმწიფო რწმუნებულის - გუბერნატორის ადმინისტრაცია დუშეთის თიანეთის მცხეთისა და ყაზბეგის მუნიციპალიტეტებში,"სახელმწიფო რწმუნებულის – გუბერნატორის ადმინისტრაცია დუშეთის, თიანეთის, მცხეთისა და ყაზბეგის მუნიციპალიტეტებში","სახელმწიფო რწმუნებულის – გუბერნატორის ადმინისტრაცია დუშეთის, თიანეთის, მცხეთისა და ყაზბეგის მუნიციპალიტეტებში","სახელმწიფო რწმუნებულის – გუბერნატორის ადმინისტრაცია დუშეთის, თიანეთის, მცხეთის, ყაზბეგის მუნიციპალიტეტებსა და ქალაქ მცხეთის მუნიციპალიტეტში",false
16 00,spending agency,სახელმწიფო რწმუნებულის – გუბერნატორის ადმინისტრაცია ამბროლაურის ლენტეხის ონისა და ცაგერის მუნიციპალიტეტებში,სახელმწიფო რწმუნებულის - გუბერნატორის ადმინისტრაცია ამბროლაურის ლენტეხის ონისა და ცაგერის მუნიციპალიტეტებში,"სახელმწიფო რწმუნებულის – გუბერნატორის ადმინისტრაცია ამბროლაურის, ლენტეხის, ონისა და ცაგერის მუნიციპალიტეტებში","სახელმწიფო რწმუნებულის – გუბერნატორის ადმინისტრაცია ამბროლაურის, ლენტეხის, ონისა და ცაგერის მუნიციპალიტეტებში","სახელმწიფო რწმუნებულის – გუბერნატორის ადმინისტრაცია ამბროლაურის, ლენტეხის, ონის, ცაგერის მუნიციპალიტეტებსა და ქალაქ ამბროლაურის მუნიციპალიტეტში",false
17 00,spending agency,სახელმწიფო რწმუნებულის – გუბერნატორის ადმინისტრაცია ადიგენის ასპინძის ახალციხის ახალქალაქის ბორჯომისა და ნინოწმინდის მუნიციპალიტეტებში,სახელმწიფო რწმუნებულის - გუბერნატორის ადმინისტრაცია ადიგენის ასპინძის ახალციხის ახალქალაქის ბორჯომისა და ნინოწმინდის მუნიციპალიტეტებში,"სახელმწიფო რწმუნებულის – გუბერნატორის ადმინისტრაცია ადიგენის, ასპინძის, ახალციხის, ახალქალაქის, ბორჯომისა და ნინოწმინდის მუნიციპალიტეტებში","სახელმწიფო რწმუნებულის – გუბერნატორის ადმინისტრაცია ადიგენის, ასპინძის, ახალციხის, ახალქალაქის, ბორჯომისა და ნინოწმინდის მუნიციპალიტეტებში","სახელმწიფო რწმუნებულის – გუბერნატორის ადმინისტრაცია ადიგენის, ასპინძის, ახალციხის, ახალქალაქის, ბორჯომის, ნინოწმინდის მუნიციპალიტეტებსა და ქალაქ ახალციხის მუნიციპალიტეტში",false
18 00,spending agency,სახელმწიფო რწმუნებულის – გუბერნატორის ადმინისტრაცია ბოლნისის გარდაბნის დმანისის თეთრი წყაროს მარნეულის წალკის მუნიციპალიტეტებსა და თვითმმართველ ქალაქ რუსთავში,სახელმწიფო რწმუნებულის - გუბერნატორის ადმინისტრაცია ბოლნისის გარდაბნის დმანისის თეთრი წყაროს მარნეულის წალკის მუნიციპალიტეტებსა და თვითმმართველ ქალაქ რუსთავში,"სახელმწიფო რწმუნებულის – გუბერნატორის ადმინისტრაცია ბოლნისის, გარდაბნის, დმანისის, თეთრი წყაროს, მარნეულის, წალკის მუნიციპალიტეტებსა და თვითმმართველ ქალაქ რუსთავში","სახელმწიფო რწმუნებულის – გუბერნატორის ადმინისტრაცია ბოლნისის, გარდაბნის, დმანისის, თეთრი წყაროს, მარნეულის, წალკის მუნიციპალიტეტებსა და თვითმმართველ ქალაქ რუსთავში","სახელმწიფო რწმუნებულის – გუბერნატორის ადმინისტრაცია ბოლნისის, გარდაბნის, დმანისის, თეთრი წყაროს, მარნეულის, წალკის მუნიციპალიტეტებსა და ქალაქ რუსთავის მუნიციპალიტეტში",false
19 00,spending agency,სახელმწიფო რწმუნებულის – გუბერნატორის ადმინისტრაცია გორის კასპის ქარელისა და ხაშურის მუნიციპალიტეტებში,სახელმწიფო რწმუნებულის - გუბერნატორის ადმინისტრაცია გორის კასპის ქარელისა და ხაშურის მუნიციპალიტეტებში,"სახელმწიფო რწმუნებულის – გუბერნატორის ადმინისტრაცია გორის, კასპის, ქარელისა და ხაშურის მუნიციპალიტეტებში","სახელმწიფო რწმუნებულის – გუბერნატორის ადმინისტრაცია გორის, კასპის, ქარელისა და ხაშურის მუნიციპალიტეტებში","სახელმწიფო რწმუნებულის – გუბერნატორის ადმინისტრაცია გორის, კასპის, ქარელის, ხაშურის მუნიციპალიტეტებსა და ქალაქ გორის მუნიციპალიტეტში",false
2,,,,,,ხარჯები,true
20 00,spending agency,ევროპულ და ევროატლანტიკურ სტრუქტურებში ინტეგრაციის საკითხებში საქართველოს სახელმწიფო მინისტრის აპარატი,ევროპულ და ევროატლანტიკურ სტრუქტურებში ინტეგრაციის საკითხებში საქართველოს სახელმწიფო მინისტრის აპარატი,ევროპულ და ევროატლანტიკურ სტრუქტურებში ინტეგრაციის საკითხებში საქართველოს სახელმწიფო მინისტრის აპარატი,ევროპულ და ევროატლანტიკურ სტრუქტურებში ინტეგრაციის საკითხებში საქართველოს სახელმწიფო მინისტრის აპარატი,ევროპულ და ევროატლანტიკურ სტრუქტურებში ინტეგრაციის საკითხებში საქართველოს სახელმწიფო მინისტრის აპარატი,true
2012 წლის სახელმწიფო ბიუჯეტის ხარჯების შესრულება,,"",,,,,true
21 00,spending agency,დიასპორის საკითხებში საქართველოს სახელმწიფო მინისტრის აპარატი,დიასპორის საკითხებში საქართველოს სახელმწიფო მინისტრის აპარატი,დიასპორის საკითხებში საქართველოს სახელმწიფო მინისტრის აპარატი,დიასპორის საკითხებში საქართველოს სახელმწიფო მინისტრის აპარატი,დიასპორის საკითხებში საქართველოს სახელმწიფო მინისტრის აპარატი,true
22 00,spending agency,რეინტეგრაციის საკითხებში საქართველოს სახელმწიფო მინისტრის აპარატი,რეინტეგრაციის საკითხებში საქართველოს სახელმწიფო მინისტრის აპარატი,რეინტეგრაციის საკითხებში საქართველოს სახელმწიფო მინისტრის აპარატი,შერიგებისა და სამოქალაქო თანასწორობის საკითხებში საქართველოს სახელმწიფო მინისტრის აპარატი,შერიგებისა და სამოქალაქო თანასწორობის საკითხებში საქართველოს სახელმწიფო მინისტრის აპარატი,false
23 00,spending agency,საქართველოს ფინანსთა სამინისტრო,საქართველოს ფინანსთა სამინისტრო,საქართველოს ფინანსთა სამინისტრო,საქართველოს ფინანსთა სამინისტრო,საქართველოს ფინანსთა სამინისტრო,true
23 01,program,სახელმწიფო ფინანსების მართვა,სახელმწიფო ფინანსების მართვა,სახელმწიფო ფინანსების მართვა,სახელმწიფო ფინანსების მართვა,სახელმწიფო ფინანსების მართვა,true
